StartYear,Austria,Belgium,Bulgaria,Cyprus,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Luxembourg,Netherlands,Norway,Portugal,Spain,Sweden,United Kingdom,,site total,country count
1968,,,,,,,,,4,,,,,,,,,,,,,4,1
1969,,,,,,,,,14,,,,,,,,,,,,,14,1
1970,,,,,,,,,19,,,,,,,,,,,,,19,1
1971,,,,,,,,,25,,,,,,,,,,,,,25,1
1972,,,,,,,,,22,,,,,,,,,,,,,22,1
1973,,,,,,,,,25,,,,,,,,,,,,,25,1
1974,,,,,,,,,30,,,,,,,,,,,,,30,1
1975,,,,,,,,,32,,,,,,,,,,,,,32,1
1976,,,,,,,,,33,,,,,,,,,,,,,33,1
1977,,,,,,,,1,31,,,,,,4,,,,,,,36,3
1978,,,,,,,,1,31,,,,,,6,,,,,,,38,3
1979,,,,,,,,1,35,,,,,,11,1,,,,,,48,4
1980,,,1,,,,,1,46,,,,,,13,1,,,,,,62,5
1981,,,1,,,,,1,61,,,,,,13,1,,,,,,77,5
1982,,,1,,,,,1,73,,,,,,12,1,,,,,,88,5
1983,,,1,,,,,1,78,,,,,,10,1,,2,,,,93,6
1984,,,1,,,,,1,75,,,,,,10,,,4,,,,91,5
1985,,,1,,,,,1,79,,,,,,10,,,10,,,,101,5
1986,,2,1,,,,,1,75,,,,,,12,,,11,,,,102,6
1987,,3,,,,,,1,70,,,,,,10,,,14,,,,98,5
1988,,5,,,41,,,29,65,,,,,,10,,,14,,,,164,6
1989,,9,,,66,,,45,54,,,,,,10,,2,44,,,,230,7
1990,,8,,,81,,,60,60,,,,,,10,,2,53,,15,,289,8
1991,,13,,,84,,,83,63,,,,,,11,,2,54,1,48,,359,9
1992,,18,,,89,,,113,63,,,,2,,11,,2,95,1,67,,461,10
1993,,28,,,96,,,136,54,,,,3,,11,,2,104,9,80,,523,10
1994,,27,,,130,,,146,57,,,,3,,10,,2,111,11,91,,588,10
1995,,27,,,211,,,159,46,,,,3,,12,,2,113,11,101,,685,10
1996,,30,,,221,,10,144,40,,,,3,,19,,2,122,13,105,,709,11
1997,,33,,,227,,10,122,34,,,,3,,19,,2,127,14,108,,699,11
1998,,26,,,234,,10,120,33,,,,3,,19,,2,134,14,114,,709,11
1999,,23,,,238,,10,111,29,,16,,3,,20,11,2,140,16,130,,749,13
2000,,20,,,244,,10,113,22,,16,,3,,24,29,2,137,34,159,,813,13
2001,,15,,,245,,10,112,16,21,16,,3,,19,29,2,140,46,191,,865,14
2002,,9,,1,245,,10,126,8,44,16,,3,,20,40,2,136,46,231,,937,15
2003,,4,,1,246,,10,147,8,62,16,,3,,21,40,2,185,83,258,,1086,15
2004,,1,,1,246,,10,177,9,82,16,,3,20,26,40,2,213,85,284,,1215,16
2005,,1,,1,246,,10,198,8,86,16,,3,20,24,38,2,213,85,302,,1253,16
2006,,3,4,1,245,1,10,226,12,87,16,3,3,20,25,37,2,214,85,314,,1308,19
2007,1,2,4,,247,1,10,247,12,87,16,5,3,20,27,38,2,214,89,331,,1356,19
2008,2,2,5,,247,10,10,228,10,86,16,5,3,20,25,39,2,226,89,344,,1369,19
2009,2,2,5,,247,10,10,198,8,86,16,5,3,20,26,39,2,228,89,334,,1330,19
2010,2,1,5,,247,10,,139,8,84,16,5,3,20,29,25,2,210,82,309,,1197,18
2011,1,1,5,,239,10,,66,7,78,16,5,,20,26,25,2,190,80,293,,1064,17
2012,1,1,5,,214,10,,18,5,52,16,5,,20,22,25,2,180,79,270,,925,17
2013,1,1,2,,77,10,,6,5,14,16,2,,,21,25,2,111,75,235,,603,16
2014,,,1,,4,10,,6,3,10,13,2,,,15,25,2,102,54,138,,385,14
2015,,,,,,,,,,,,,,,,21,,,,,,21,1
