,SppRich,SppRichRarefied,ShannonsH,E10,Abundance,turnover,func_turnover,func_rich,func_even,func_diverg,RaoQ,FRed,alien_sppRich,alien_abund,native_sppRich,native_abund,EPT_sppRich,EPT_abund,insect_sppRich,insect_abund
"good[-Inf, 0.5]",1790,1784,1713,1601,1729,1609,1720,1721,1510,1725,1799,1328,904,842,1280,1218,1804,1814,1787,1725
"ok[0.5, 0.7]",16,17,46,82,39,75,43,39,137,36,14,152,1,24,9,32,10,1,14,39
"bad[0.7, 1]",10,10,25,54,22,58,28,31,71,31,3,118,0,20,9,35,2,1,13,27
"verybad[1, Inf]",0,5,32,79,26,74,25,25,98,24,0,218,0,19,1,14,0,0,2,25
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"good[-Inf, 0.5]",0.985682819,0.982378855,0.943281938,0.88160793,0.952092511,0.886013216,0.947136564,0.947687225,0.831497797,0.949889868,0.990638767,0.731277533,0.998895028,0.93038674,0.985373364,0.937644342,0.99339207,0.998898678,0.984030837,0.949889868
"ok[0.5, 0.7]",0.008810573,0.009361233,0.025330396,0.045154185,0.021475771,0.041299559,0.023678414,0.021475771,0.075440529,0.019823789,0.007709251,0.083700441,0.001104972,0.026519337,0.006928406,0.024634334,0.005506608,0.000550661,0.007709251,0.021475771
"bad[0.7, 1]",0.005506608,0.005506608,0.01376652,0.029735683,0.012114537,0.031938326,0.015418502,0.017070485,0.039096916,0.017070485,0.001651982,0.064977974,0,0.022099448,0.006928406,0.026943803,0.001101322,0.000550661,0.00715859,0.014867841
"verybad[1, Inf]",0,0.002753304,0.017621145,0.043502203,0.014317181,0.040748899,0.01376652,0.01376652,0.053964758,0.013215859,0,0.120044053,0,0.020994475,0.000769823,0.010777521,0,0,0.001101322,0.01376652
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,0.994493392,0.991740088,0.968612335,0.926762115,0.973568282,0.927312775,0.970814978,0.969162996,0.906938326,0.969713656,0.998348018,0.814977974,1,0.956906077,0.992301771,0.962278676,0.998898678,0.999449339,0.991740088,0.971365639
