country,1968,1969,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Other,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,1,5,5,2,2,2,3,0,3,2,3,4,7,5,5,16,15,16,31,32,35,35,52,55,56,46,69,72,73,72,65,57,61,39,34,0
UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,86,77,95,114,88,104,62,119,180,183,198,251,264,276,297,276,304,289,359,323,314,308,295,268,177,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,11,11,14,14,13,16,34,45,51,85,83,82,84,89,87,89,87,79,80,81,76,57,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,11,9,13,13,45,53,53,95,105,112,120,115,114,139,147,144,144,150,204,214,213,208,195,228,239,231,229,193,177,118,120,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,35,49,54,49,43,41,50,38,38,48,26,65,39,50,38,50,39,47
Netherlands,0,0,0,0,0,0,0,0,0,0,0,1,10,8,10,14,15,15,15,16,12,15,15,10,11,12,13,8,10,14,15,20,23,24,22,30,30,24,28,25,33,29,20,35,26,32,31,33,27,26,35,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,42,68,77,80,76,86,75,76,82,83,81,71,14,11,0
Germany,1,3,21,35,39,12,3,28,29,33,23,32,3,75,66,50,87,80,85,98,61,80,78,87,53,88,86,68,49,56,87,55,54,46,64,33,42,24,36,18,12,14,13,13,13,6,8,7,6,5,5,0
France,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,90,80,85,110,119,230,208,220,199,203,137,132,126,73,69,194,220,213,222,226,231,231,198,211,193,65,6,6,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,82,91,95,83,87,118,216,213,210,227,229,242,237,243,238,241,237,235,202,245,247,231,237,237,47,237,51,2
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,18,17,27,31,36,32,43,47,23,43,45,42,50,39,39,39,30,15,9,19,12,8,21,19,8,19,10,6,20,1
